Match ID,Date,Day,Month,daymonth,Year,DateFormat,Opponent,Home/Away,Competition,Score,Result,Score Rank,HomeTeam,HomeScore,AwayTeam,AwayScore
1118,18th Apr 1914,18,4,18-4,1914,5222,Hunslet,H,L,St. Helens 36 - 6 Hunslet,W,1260,Saints,36,Hunslet,6
5020,6th Jul 2018,6,7,6-7,2018,43287,Widnes Vikings,H,SL,St. Helens 36 - 6 Widnes Vikings,W,1260,Saints,36,Widnes V,6
1564,17th Dec 1927,17,12,17-12,1927,10213,Leigh,H,L,St. Helens 37 - 11 Leigh,W,1248,Saints,37,Leigh,11
2288,31st May 1947,31,5,31-5,1947,17318,Barrow,H,L,St. Helens 36 - 7 Barrow,W,1247,Saints,36,Barrow,7
2740,26th Oct 1957,26,10,26-10,1957,21119,Leeds,H,L,St. Helens 36 - 7 Leeds,W,1247,Saints,36,Leeds,7
3678,11th Sep 1977,11,9,11-9,1977,28379,Castleford,H,L,St. Helens 39 - 17 Castleford,W,1232,Saints,39,Castleford,17
685,1st Feb 1902,1,2,1-2,1902,763,Altrincham,H,L,St. Helens 35 - 0 Altrincham,W,1225,Saints,35,Altrincham,0
2284,17th May 1947,17,5,17-5,1947,17304,Featherstone Rovers,H,L,St. Helens 35 - 0 Featherstone Rovers,W,1225,Saints,35,Feathersto,0
4226,27th Jun 2003,27,6,27-6,2003,37799,Bradford Bulls,A,SL,Bradford Bulls 0 - 35 St. Helens,W,1225,Bradford B,0,Saints,35
424,10th Nov 1991,10,11,10-11,1991,33552,Hull Kingston Rovers,H,L,St. Helens 38 - 15 Hull Kingston Rovers,W,1219,Saints,38,Hull K,15
2787,15th Nov 1958,15,11,15-11,1958,21504,Featherstone Rovers,A,L,Featherstone Rovers 9 - 36 St. Helens,W,1215,Feathersto,9,Saints,36
1734,31st Oct 1931,31,10,31-10,1931,11627,Bradford Northern,H,L,St. Helens 35 - 5 Bradford Northern,W,1200,Saints,35,Bradford N,5
2807,28th Mar 1959,28,3,28-3,1959,21637,Liverpool City,A,L,Liverpool City 20 - 40 St. Helens,W,1200,Liverpool ,20,Saints,40
3400,25th Oct 1971,25,10,25-10,1971,26231,Batley,H,L,St. Helens 35 - 5 Batley,W,1200,Saints,35,Batley,5
4054,7th Sep 1986,7,9,7-9,1986,31662,Leeds,A,L,Leeds 20 - 40 St. Helens,W,1200,Leeds,20,Saints,40
351,10th Oct 1993,10,10,10-10,1993,34252,Wakefield Trinity,H,L,St. Helens 36 - 10 Wakefield Trinity,W,1196,Saints,36,Wakefield ,10
4872,22nd Jun 2014,22,6,22-6,2014,41812,Castleford Tigers,H,SL,St. Helens 38 - 16 Castleford Tigers,W,1188,Saints,38,Castleford,16
1034,13th Jan 1912,13,1,13-1,1912,4396,Ebbw Vale,H,L,St. Helens 34 - 0 Ebbw Vale,W,1156,Saints,34,Ebbw Vale,0
